Username,Length,Has_Numbers,Has_Underscore,Is_Alphanumeric,Has_Bot_Suffix,Length_Without_At
@ctapkc_link,12,False,True,False,False,11
@d_a_l_b_a_e_b,14,False,True,False,False,13
@daeli,6,False,False,True,False,5
@dagsebulba,11,False,False,True,False,10
@damac_tg,9,False,True,False,False,8
@dangara_uchkoprik_darvozalari,30,False,True,False,False,29
@disannul,9,False,False,True,False,8
@dmblvck,8,False,False,True,False,7
@dongmingzhu,12,False,False,True,False,11
@dr4iphone,10,True,False,True,False,9
@drgnsup,8,False,False,True,False,7
@dsony,6,False,False,True,False,5
@dubai_investment_fund,22,False,True,False,False,21
@dubaisowner,12,False,False,True,False,11
@durovoctober10,15,True,False,True,False,14
@ebyis,6,False,False,True,False,5
@edistobeach,12,False,False,True,False,11
@egiptes,8,False,False,True,False,7
@elected_boss,13,False,True,False,False,12
@emmanuellamp,13,False,False,True,False,12
@enilive,8,False,False,True,False,7
@equindig,9,False,False,True,False,8
@exxonmobil_tg,14,False,True,False,False,13
@eybank,7,False,False,True,False,6
@f_a_r_a_o_n,12,False,True,False,False,11
@fakemoneyhere,14,False,False,True,False,13
@faleeeev,9,False,False,True,False,8
@ferrari_portofino,18,False,True,False,False,17
@fifa_de,8,False,True,False,False,7
@figmart,8,False,False,True,False,7
@fipep,6,False,False,True,False,5
@flexible_hls,13,False,True,False,False,12
@foodanalytics,14,False,False,True,False,13
@for420time,11,True,False,True,False,10
@for_telegram_girls_boys_chat,29,False,True,False,False,28
@forbabychulo,13,False,False,True,False,12
@free_midjourney_chatgpt,24,False,True,False,False,23
@gamble_bet,11,False,True,False,False,10
@gatoroscillator,16,False,False,True,False,15
@giftcards_amazon_zalando,25,False,True,False,False,24
@glintminer,11,False,False,True,False,10
@global_medecine,16,False,True,False,False,15
@glow_today,11,False,True,False,False,10
@gofur_me,9,False,True,False,False,8
@gomoseksualistka,17,False,False,True,False,16
@gongqun_qq,11,False,True,False,False,10
@gorbachev_perestroyka,22,False,True,False,False,21
@gufengmeinv,12,False,False,True,False,11
@gz_tg,6,False,True,False,False,5
@h0st2,6,True,False,True,False,5
@hapket,7,False,False,True,False,6
@harnosand,10,False,False,True,False,9
@hiframework,12,False,False,True,False,11
@hollywoodwalkoffame,20,False,False,True,False,19
@humptydumptyton,16,False,False,True,False,15
@iislomjon,10,False,False,True,False,9
@ilove_u_you,12,False,True,False,False,11
@imezakmusic,12,False,False,True,False,11
@imovie_vide0,13,True,True,False,False,12
@indarts,8,False,False,True,False,7
@ininall,8,False,False,True,False,7
@investment_appraisal,21,False,True,False,False,20
@islandphiphi,13,False,False,True,False,12
@jiguli_jentra_kaptiva_malibu_lab,33,False,True,False,False,32
@jjmetajj,9,False,False,True,False,8
@joycopanda,11,False,False,True,False,10
@justyourdaddy,14,False,False,True,False,13
@jvcae,6,False,False,True,False,5
@k6tor,6,True,False,True,False,5
@kakamigahara,13,False,False,True,False,12
@kanal_yoqku,12,False,True,False,False,11
@khodavandegar,14,False,False,True,False,13
@ksa_mofa,9,False,True,False,False,8
@kyyjj,6,False,False,True,False,5
@la_rent,8,False,True,False,False,7
@legend_chicken,15,False,True,False,False,14
@legoland_tg,12,False,True,False,False,11
@liberty_001,12,True,True,False,False,11
@little_prince_telegram,23,False,True,False,False,22
@liveindubaimarina,18,False,False,True,False,17
@livesportapp,13,False,False,True,False,12
@lkton,6,False,False,True,False,5
@luba_samoilova,15,False,True,False,False,14
@ludmila_shtepenko,18,False,True,False,False,17
@luxuryislands,14,False,False,True,False,13
@makecash,9,False,False,True,False,8
@mam_mon,8,False,True,False,False,7
